kode,path,module,file_name,class_name,func_name,order_id,permission,parent_id/routes.kode,nama,status,type,app_id,is_menu,template,csrf
base-home,/,base,__init__,Home,view_home,1,,,Home,1,0,,0,home.pt,
base-login,/login,base,user_login,ViewAuth,view_login,1,,,Login,1,0,,0,form6.pt,1
base-logout,/logout,base,user_login,ViewAuth,view_logout,1,,,Logout,1,0,,0,logout.pt,
base-password-reset,/password/reset,base,user_login,ViewPassword,reset_password,,,,Reset Password,1,0,,0,form6.pt,
base-password,/password,base,user_login,ViewPassword,change_password,1,view,,Change Password,1,0,,0,form8.pt,
base-password-request,/password/{code}/request,base,user_login,ViewPassword,change_password_request,1,,,Change Password,1,0,,0,form8.pt,
base-profile,/profile,base,register,,view_profile,,,,Profile,1,0,,0,form8.pt,
base-register,/register,base,register,,view_register,,,,Register,1,0,,0,form8.pt,
base-recreate-api-key,/recreate-api-key,base,register,ViewPassword,recreate-api-key,,,,Get Api Key,1,0,,0,recreate-api-key.pt,
base-admin,#,base,,,,,view,,Administrator,1,0,,1,,
base-user,/user,base,user,,view_list,,user-view,base-admin,User,1,0,,1,form.pt,
base-user-act,/user/{act}/act,base,user,,,,user-view,base-user,User Action,1,0,,,json,
base-user-add,/user/add,base,user,,,,user-edit,base-user,User Add,1,0,,,form6.pt,
base-user-edit,/user/{id}/edit,base,user,,,,user-edit,base-user,User Edit,1,0,,,form6.pt,
base-user-view,/user/{id}/view,base,user,,,,user-view,base-user,User View,1,0,,,form6.pt,
base-user-delete,/user/{id}/delete,base,user,,,,user-edit,base-user,User Delete,1,0,,,form6.pt,
base-partner,/partner,base,partner,,view_list,,admin,base-admin,Partner,1,0,,1,form.pt,
base-partner-act,/partner/{act}/act,base,partner,,,,admin,base-partner,Partner Action,1,0,,,json,
base-partner-add,/partner/add,base,partner,,,,admin,base-partner,Partner Add,1,0,,,form6.pt,
base-partner-edit,/partner/{id}/edit,base,partner,,,,admin,base-partner,Partner Edit,1,0,,,form6.pt,
base-partner-view,/partner/{id}/view,base,partner,,,,admin,base-partner,Partner View,1,0,,,form6.pt,
base-partner-delete,/partner/{id}/delete,base,partner,,,,admin,base-partner,Partner Delete,1,0,,,form6.pt,
base-partner-upload,/partner/upload,base,partner,,,,admin,base-partner,Partner Uload,1,0,,,form6.pt,
base-permission,/permission,base,permission,,view_list,,admin,base-admin,Permission,1,0,,1,form.pt,
base-permission-act,/permission/{act}/act,base,permission,,,,admin,base-permission,Permission Action,1,0,,,json,
base-permission-add,/permission/add,base,permission,,,,admin,base-permission,Permission Add,1,0,,,form6.pt,
base-permission-edit,/permission/{id}/edit,base,permission,,,,admin,base-permission,Permission Edit,1,0,,,form6.pt,
base-permission-view,/permission/{id}/view,base,permission,,,,admin,base-permission,Permission View,1,0,,,form6.pt,
base-permission-delete,/permission/{id}/delete,base,permission,,,,admin,base-permission,Permission Delete,1,0,,,form6.pt,
base-permission-upload,/permission/upload,base,permission,,,,admin,base-permission,Permission Uload,1,0,,,form6.pt,
base-groups,/groups,base,groups,,view_list,,admin,base-admin,Groups,1,0,,1,form.pt,
base-groups-act,/groups/{act}/act,base,groups,,,,admin,base-groups,Groups Action,1,0,,,json,
base-groups-add,/groups/add,base,groups,,,,admin,base-groups,Groups Add,1,0,,,form6.pt,
base-groups-edit,/groups/{id}/edit,base,groups,,,,admin,base-groups,Groups Edit,1,0,,,form6.pt,
base-groups-view,/groups/{id}/view,base,groups,,,,admin,base-groups,Groups View,1,0,,,form6.pt,
base-groups-delete,/groups/{id}/delete,base,groups,,,,admin,base-groups,Groups Delete,1,0,,,form6.pt,
base-groups-upload,/groups/upload,base,groups,,,,admin,base-groups,Groups Uload,1,0,,,form6.pt,
base-upload-logo,/upload/logo,,,,,,admin,base-admin,Upload Logo,1,0,,1,upload.pt,1
googleOauth2,/googleOauth2,,,,,,,,Google Oauth2,1,1,,0,json,
googlesignin,/googlesignin,base,,,,1,,,GoogleSignIn,1,1,,0,json,
